"county","unemp_rate_mar_2020","industry","job_count"
"Craven County",3.4,"accommodation_food_services",3570
"Craven County",3.4,"other_services_ex__public_admin",879
"Craven County",3.4,"public_admin",6905
"Craven County",3.4,"unclassified",0
"Cumberland County",5.5,"all_industries",114763
"Cumberland County",5.5,"agriculture_forestry_fishing_hunting",NA
"Cumberland County",5.5,"mining",NA
"Cumberland County",5.5,"utilities",458
"Cumberland County",5.5,"construction",4737
"Cumberland County",5.5,"manufacturing",NA
"Cumberland County",5.5,"wholesale_trade",1858
"Cumberland County",5.5,"retail_trade",15993
"Cumberland County",5.5,"transportation_warehousing",4779
"Cumberland County",5.5,"information",10
"Cumberland County",5.5,"finance_insurance",1930
"Cumberland County",5.5,"real_estate_rental_leasing",1585
"Cumberland County",5.5,"professional_technical_services",5248
"Cumberland County",5.5,"mgt_of_companies_enterprises",NA
"Cumberland County",5.5,"administrative_waste_services",25
"Cumberland County",5.5,"educational_services",10475
"Cumberland County",5.5,"health_care_social_assistance",22959
"Cumberland County",5.5,"arts_entertain_recreation",1206
"Cumberland County",5.5,"accommodation_food_services",13018
"Cumberland County",5.5,"other_services_ex__public_admin",2762
"Cumberland County",5.5,"public_admin",13112
"Cumberland County",5.5,"unclassified",0
"Currituck County",3.5,"all_industries",6746
"Currituck County",3.5,"agriculture_forestry_fishing_hunting",20
"Currituck County",3.5,"mining",NA
"Currituck County",3.5,"utilities",NA
"Currituck County",3.5,"construction",515
"Currituck County",3.5,"manufacturing",71
"Currituck County",3.5,"wholesale_trade",164
"Currituck County",3.5,"retail_trade",1209
"Currituck County",3.5,"transportation_warehousing",75
"Currituck County",3.5,"information",8
"Currituck County",3.5,"finance_insurance",92
"Currituck County",3.5,"real_estate_rental_leasing",613
"Currituck County",3.5,"professional_technical_services",317
"Currituck County",3.5,"mgt_of_companies_enterprises",NA
"Currituck County",3.5,"administrative_waste_services",600
"Currituck County",3.5,"educational_services",888
"Currituck County",3.5,"health_care_social_assistance",306
"Currituck County",3.5,"arts_entertain_recreation",220
"Currituck County",3.5,"accommodation_food_services",841
"Currituck County",3.5,"other_services_ex__public_admin",204
"Currituck County",3.5,"public_admin",569
"Currituck County",3.5,"unclassified",0
"Dare County",6,"all_industries",18044
"Dare County",6,"agriculture_forestry_fishing_hunting",10
"Dare County",6,"mining",NA
"Dare County",6,"utilities",74
"Dare County",6,"construction",1104
"Dare County",6,"manufacturing",515
"Dare County",6,"wholesale_trade",252
"Dare County",6,"retail_trade",3504
"Dare County",6,"transportation_warehousing",182
"Dare County",6,"information",109
