"county","year","population"
"Henderson County",2012,107415
"Henderson County",2042,141409
"Henderson County",2043,142707
"Hertford County",2044,16371
"Hoke County",2015,50663
"Hoke County",2022,55151
"Hoke County",2024,57571
"Hoke County",2033,66769
"Hoke County",2035,68733
"Hoke County",2037,70695
"Hyde County",2021,4603
"Hyde County",2037,3762
"Iredell County",2010,159854
"Iredell County",2018,181042
"Iredell County",2038,266886
"Iredell County",2046,302247
"Jackson County",2017,42884
"Jackson County",2041,49790
"Jackson County",2042,50149
"Jackson County",2050,53019
"Johnston County",2026,262024
"Johnston County",2027,267278
"Jones County",2016,9632
"Jones County",2018,9511
"Jones County",2025,9196
"Lee County",2011,58432
"Lee County",2037,76101
"Lee County",2042,79796
"Lenoir County",2016,56394
"Lenoir County",2031,52080
"Lenoir County",2032,51802
"Lenoir County",2037,50418
"Lenoir County",2048,47368
"Lincoln County",2036,109133
"Lincoln County",2038,111646
"Lincoln County",2040,114153
"Lincoln County",2043,117963
"Lincoln County",2044,119239
"Macon County",2012,34031
"Macon County",2016,35254
"Macon County",2038,42511
"Madison County",2017,21321
"Madison County",2025,21750
"Madison County",2027,21900
"Madison County",2033,22354
"Madison County",2037,22657
"Martin County",2019,22285
"Martin County",2031,19806
"Martin County",2040,18139
"McDowell County",2012,44869
"McDowell County",2020,44591
"McDowell County",2022,44443
"McDowell County",2024,44772
"McDowell County",2030,44774
"McDowell County",2038,44773
"McDowell County",2039,44775
"McDowell County",2044,44774
"Mecklenburg County",2018,1091236
"Mecklenburg County",2028,1262367
"Mecklenburg County",2033,1362438
"Mecklenburg County",2034,1382192
"Mecklenburg County",2037,1441824
"Mitchell County",2023,14854
"Mitchell County",2042,14138
"Mitchell County",2049,13893
"Montgomery County",2013,26915
"Montgomery County",2017,25902
"Montgomery County",2021,25782
"Montgomery County",2025,25738
"Montgomery County",2028,25734
"Montgomery County",2038,25735
"Montgomery County",2039,25737
"Montgomery County",2045,25736
"Montgomery County",2048,25736
"Montgomery County",2049,25738
"Moore County",2016,93845
"Moore County",2017,95344
"Moore County",2019,98346
"Moore County",2036,137657
"Moore County",2049,167795
"Nash County",2016,93533
"Nash County",2024,95413
"Nash County",2025,95399
"Nash County",2030,95361
"Nash County",2031,95359
"Nash County",2037,95344
"Nash County",2043,95338
"Nash County",2044,95338
"Nash County",2050,95338
"New Hanover County",2010,203092
"New Hanover County",2017,222969
"New Hanover County",2019,225161
"New Hanover County",2026,247230
"New Hanover County",2031,262214
"New Hanover County",2049,316151
"Northampton County",2027,16216
"Northampton County",2029,15897
"Northampton County",2035,14941
"Northampton County",2042,13825
"Onslow County",2020,204798
"Onslow County",2026,219312
"Onslow County",2046,267549
"Orange County",2010,134010
"Orange County",2014,140590
"Orange County",2025,154040
"Orange County",2029,159829
"Orange County",2034,167003
"Orange County",2039,174096
"Orange County",2044,181119
"Pamlico County",2020,12291
"Pamlico County",2039,11697
"Pamlico County",2048,11382
"Pamlico County",2050,11310
"Pasquotank County",2011,40165
"Pasquotank County",2013,39319
"Pasquotank County",2047,41476
"Pender County",2018,59154
"Pender County",2022,65282
"Pender County",2036,81023
"Pender County",2044,89203
"Pender County",2048,93292
"Perquimans County",2011,13498
"Perquimans County",2016,13129
"Perquimans County",2043,14168
"Perquimans County",2049,14172
"Person County",2021,39486
"Person County",2025,39846
"Person County",2030,40156
"Person County",2034,40321
"Person County",2035,40356
"Person County",2042,40528
"Person County",2045,40574
"Person County",2049,40621
"Pitt County",2010,168567
"Pitt County",2016,168820
"Pitt County",2017,169207
"Pitt County",2021,172014
"Pitt County",2028,175469
"Pitt County",2030,178262
"Polk County",2013,19860
"Polk County",2019,19538
"Polk County",2022,19571
"Polk County",2034,19648
"Polk County",2040,19657
"Randolph County",2015,142252
"Randolph County",2016,142771
"Randolph County",2033,153217
"Randolph County",2035,154566
"Randolph County",2041,158612
"Randolph County",2045,161313
"Randolph County",2048,163335
"Richmond County",2014,44668
"Richmond County",2017,43793
"Richmond County",2027,41371
"Richmond County",2032,40411
"Robeson County",2016,123542
"Robeson County",2023,117372
"Robeson County",2025,118089
"Robeson County",2028,118916
"Robeson County",2029,119137
"Robeson County",2030,119335
"Robeson County",2031,119515
"Robeson County",2032,119675
"Robeson County",2039,120421
"Robeson County",2043,120658
"Robeson County",2045,120742
"Rockingham County",2025,92033
"Rockingham County",2045,92040
"Rockingham County",2050,92040
"Rowan County",2021,147799
"Rowan County",2027,153211
"Rowan County",2029,154824
"Rowan County",2040,164172
"Rowan County",2045,168296
"Rowan County",2050,172453
"Rutherford County",2013,66324
"Rutherford County",2015,65339
"Rutherford County",2016,64929
"Rutherford County",2021,64263
"Rutherford County",2023,64350
"Rutherford County",2024,64523
"Rutherford County",2026,64867
"Rutherford County",2039,67066
"Sampson County",2013,62595
"Sampson County",2024,58938
"Sampson County",2032,58849
"Sampson County",2039,58827
"Sampson County",2041,58824
"Scotland County",2015,35063
"Scotland County",2016,35044
"Scotland County",2026,32597
"Scotland County",2034,31584
"Scotland County",2037,31200
"Scotland County",2050,29543
"Stanly County",2012,60019
"Stanly County",2017,61456
"Stanly County",2036,65504
"Stanly County",2047,67720
"Stanly County",2048,67921
"Stanly County",2049,68122
"Stokes County",2011,46973
"Stokes County",2035,45818
"Stokes County",2041,45851
"Stokes County",2046,45859
"Stokes County",2048,45857
"Surry County",2020,71326
"Surry County",2024,71236
"Surry County",2029,71009
"Surry County",2041,70462
"Surry County",2042,70417
"Swain County",2022,14316
"Swain County",2028,14580
"Swain County",2036,14846
"Swain County",2042,15036
"Swain County",2043,15069
"Transylvania County",2016,32786
"Transylvania County",2017,32954
"Transylvania County",2047,37538
"Tyrrell County",2010,4404
"Tyrrell County",2016,3897
"Tyrrell County",2030,2942
"Union County",2016,223538
"Union County",2023,252232
"Union County",2030,292658
"Union County",2046,393868
"Vance County",2011,45186
"Vance County",2040,41177
"Vance County",2046,41174
"Wake County",2033,1444411
"Wake County",2039,1600055
"Wake County",2042,1677880
"Wake County",2047,1807582
"Warren County",2021,18850
"Warren County",2022,18873
"Warren County",2027,18949
"Warren County",2042,19042
"Washington County",2019,11160
"Washington County",2023,10425
"Washington County",2026,9925
"Washington County",2030,9332
"Washington County",2033,8948
"Washington County",2034,8830
"Watauga County",2010,50900
"Watauga County",2019,54466
"Watauga County",2020,54483
"Watauga County",2032,57756
"Watauga County",2035,58532
"Watauga County",2043,61666
"Watauga County",2045,62434
"Watauga County",2047,63207
"Wayne County",2011,123190
"Wayne County",2013,122793
"Wayne County",2016,119858
"Wayne County",2021,117662
"Wayne County",2025,117301
"Wayne County",2029,117124
"Wayne County",2049,116965
"Wilkes County",2014,67712
"Wilkes County",2019,66189
"Wilkes County",2020,65983
"Wilkes County",2022,65698
"Wilkes County",2023,65600
"Wilkes County",2028,65139
"Wilkes County",2037,64584
"Wilkes County",2039,64537
"Wilkes County",2040,64527
"Wilkes County",2044,64590
"Wilkes County",2050,65040
"Wilson County",2025,76495
"Wilson County",2032,75832
"Wilson County",2035,76201
"Wilson County",2043,78123
"Wilson County",2049,80029
"Wilson County",2050,80365
"Yadkin County",2021,37164
"Yadkin County",2028,37007
"Yadkin County",2037,36993
"Yadkin County",2040,36993
"Yadkin County",2047,36992
"Yadkin County",2048,36992
"Yancey County",2011,17809
"Yancey County",2027,18375
"Yancey County",2043,18116
"Yancey County",2048,18039
"Alamance County",2011,152100
"Alamance County",2015,157162
"Alamance County",2020,171753
"Alamance County",2028,188874
"Alamance County",2039,209767
"Alamance County",2040,211669
"Alexander County",2011,36968
"Alexander County",2020,36464
"Alexander County",2022,36429
"Alexander County",2024,36625
"Alexander County",2027,36718
"Alexander County",2044,36746
"Alleghany County",2010,11120
"Alleghany County",2038,11315
"Alleghany County",2039,11329
"Alleghany County",2044,11385
"Alleghany County",2050,11453
"Anson County",2030,21185
"Anson County",2047,21092
"Ashe County",2017,26401
"Ashe County",2019,26645
"Ashe County",2046,26814
"Ashe County",2047,26820
"Ashe County",2048,26827
"Avery County",2011,17894
"Avery County",2017,17736
"Avery County",2021,17951
"Avery County",2025,17950
"Avery County",2028,17952
"Avery County",2037,17950
"Avery County",2038,17952
"Avery County",2048,17951
"Avery County",2050,17952
